Name,Year,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
ENGLAND,2023,305120,303019,314737,321299,325230,333023,343154,339729,341966,351482,360539,361688,356777,354079,357199,344190,336612,291186,289546,300800,305906,310539,318263,326932,324633,326780,334543,344341,343967,339949,337345,340474,326885,319023
ENGLAND,2022,305120,303019,314737,321299,325230,333023,343154,339729,341966,351482,360539,361688,356777,354079,357199,344190,336612,291186,289546,300800,305906,310539,318263,326932,324633,326780,334543,344341,343967,339949,337345,340474,326885,319023
ENGLAND,2021,296503,307701,314763,319347,327382,337358,334339,336608,346293,355645,357159,352449,349865,352887,340051,333065,333238,282812,293573,299346,304526,312264,321155,318869,321512,329210,339273,339329,335627,333202,336374,323027,316434,314828
ENGLAND,2020,308815,321378,333560,344089,354452,353655,356004,363986,374129,366587,360144,355213,358555,347682,340280,327124,322370,293098,304098,316666,326927,336364,335535,338730,345954,356419,348459,342943,337660,340266,329091,323745,310632,305653
ENGLAND,2019,318032,330498,341237,351961,351485,354203,362354,372474,364988,358451,353295,356875,346084,338473,324729,320136,312196,300826,313558,324359,334174,333507,336919,344388,355464,347216,341749,336438,338878,327705,322455,309314,304454,295300
ENGLAND,2018,327309,338368,349229,349199,352148,360688,370995,363496,356965,351790,355145,344574,337076,322996,317980,309945,305110,310525,321522,331803,331559,335065,342703,354215,346678,340812,335524,337926,326534,321037,307963,302888,293801,288845
ENGLAND,2017,335035,346046,346330,349607,358496,369274,361918,355398,350271,353607,342819,335137,321159,315811,307468,302504,310035,318432,328761,328715,332749,340754,352434,345157,339082,334099,336162,324999,319229,306248,301164,292004,287102,295689
